region_id,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_Tot,C11_Tot_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_Tot_SOL_SE_Tot,C11_Tot_LPE_NS,C11_T_T
LGA56230,16,10,173,12517,317,41,10,368,644,13529
LGA56300,0,4,13,1171,39,9,0,48,50,1269
LGA56370,0,7,28,735,23,4,0,27,33,795
LGA56450,0,0,0,790,38,0,0,38,23,851
LGA56520,17,5,112,3747,209,28,9,246,172,4165
LGA56580,45,144,770,17259,2618,207,21,2846,1110,21215
LGA56620,6,0,6,348,956,200,7,1163,49,1560
LGA56730,40,12,172,8883,491,77,11,579,727,10189
LGA56790,0,11,60,3810,77,9,0,86,204,4100
LGA56860,0,0,3,213,6,0,0,6,13,232
LGA56930,3,5,45,1274,127,0,0,127,120,1521
LGA57000,0,0,3,1073,75,6,3,84,111,1268
LGA57080,31,55,197,12049,4883,680,51,5614,4167,21830
LGA57140,3,0,26,1020,36,3,0,39,39,1098
LGA57210,5,0,90,4156,199,42,5,246,266,4668
LGA57280,17,3,31,12602,1634,155,17,1806,3935,18343
LGA57350,0,0,24,958,19,0,3,22,12,992
LGA57420,0,11,20,1961,100,11,3,114,151,2226
LGA57490,77,97,1216,90672,5401,675,121,6197,4497,101366
LGA57560,3,3,22,19791,2465,369,29,2863,6955,29609
LGA57630,0,0,4,139,7,0,0,7,18,164
LGA57700,9,34,114,15670,686,59,15,760,784,17214
LGA57770,3,4,21,1785,58,6,3,67,115,1967
LGA57840,98,65,1074,29728,7370,910,84,8364,2285,40377
LGA57910,942,304,4131,134501,39517,7837,605,47959,10383,192843
LGA57980,51,39,320,13133,2985,413,20,3418,1242,17793
LGA58050,230,109,1019,84600,14319,2864,247,17430,4925,106955
LGA58190,0,0,6,364,12,0,0,12,16,392
LGA58260,0,0,13,567,40,3,0,43,46,656
LGA58330,0,4,35,3806,124,9,3,136,289,4231
LGA58400,0,0,6,318,9,0,0,9,13,340
LGA58470,0,0,0,250,7,0,0,7,31,288
LGA58510,123,237,1084,21297,7122,1215,100,8437,2753,32487
LGA58540,0,0,6,815,37,0,0,37,39,891
LGA58570,292,31,592,21751,5629,1387,68,7084,2213,31048
LGA58610,0,5,53,1685,58,0,0,58,36,1779
LGA58680,0,0,3,402,20,3,0,23,17,442
LGA58760,231,89,1430,115795,22057,4712,395,27164,6039,148998
LGA58820,11,3,57,3129,215,33,0,248,116,3493
LGA58890,0,0,12,813,14,4,0,18,20,851
LGA59030,0,0,4,263,11,3,0,14,12,289
LGA59100,0,3,15,650,9,0,3,12,30,692
LGA59170,0,0,4,837,11,0,0,11,29,877
LGA59250,0,0,0,1378,338,19,3,360,259,1997
LGA59310,0,0,19,1284,38,4,0,42,52,1378
LGA59320,0,0,3,383,4,0,3,7,0,390
LGA59330,0,3,16,457,12,0,0,12,44,513
LGA59340,5,4,30,9385,834,119,21,974,1156,11515
LGA59350,0,0,0,544,28,3,0,31,120,695
LGA59360,0,3,9,1792,107,6,0,113,301,2206
LGA59370,5,7,52,3028,85,8,0,93,147,3268
LGA59399,0,0,6,2171,181,6,0,187,535,2893
LGA60210,4,3,134,5619,120,7,0,127,225,5971
LGA60410,5,6,125,14201,278,37,8,323,764,15288
LGA60610,15,100,400,17708,492,73,0,565,764,19037
LGA60810,17,46,425,19401,326,30,9,365,680,20446
LGA61010,0,4,24,2064,34,6,0,40,114,2218
LGA61210,3,8,128,7355,142,12,3,157,298,7810
LGA61410,32,60,1177,46695,1664,236,28,1928,1859,50482
LGA61510,6,9,130,9102,142,7,0,149,320,9571
LGA61610,13,38,641,22521,537,66,4,607,798,23926
LGA61810,0,4,124,6280,109,9,3,121,203,6604
LGA62010,0,0,12,703,16,0,0,16,34,753
LGA62210,7,5,100,6195,122,16,0,138,166,6499
LGA62410,0,11,99,3831,99,12,3,114,126,4071
LGA62610,106,53,993,39065,2724,680,42,3446,1401,43912
LGA62810,110,169,1342,40710,5360,889,69,6318,2530,49558
LGA63010,11,8,196,13905,443,47,8,498,350,14753
LGA63210,6,3,84,5743,158,16,4,178,126,6047
LGA63410,0,0,33,1441,55,13,0,68,46,1555
LGA63610,46,66,591,30207,1674,174,30,1878,812,32897
LGA63810,5,9,197,9066,180,14,3,197,238,9501
LGA64010,78,98,1597,58019,2975,703,61,3739,2386,64144
LGA64210,18,36,365,17575,416,53,3,472,467,18514
LGA64610,3,12,197,11537,171,12,9,192,288,12017
LGA64810,5,9,193,12132,223,21,3,247,454,12833
LGA65010,0,3,59,5548,71,12,0,83,246,5877
LGA65210,0,5,39,2065,46,6,0,52,88,2205
LGA65410,8,13,268,12800,215,24,4,243,359,13402
LGA65610,0,5,35,4655,115,17,3,135,263,5053
LGA65810,28,18,390,19938,770,67,12,849,535,21322
LGA69399,0,0,0,478,34,0,0,34,63,575
LGA70200,21,19,126,20008,3867,650,132,4649,2483,27140
LGA70420,15,4,30,3667,2428,569,88,3085,818,7570
LGA70540,0,0,0,152,21,0,0,21,0,173
LGA70620,21,3,24,1086,2290,354,60,2704,348,4138
LGA70700,0,0,6,1212,83,13,0,96,205,1513
LGA71000,79,49,390,53401,13628,2257,235,16120,8778,78299
LGA71300,14,0,14,888,5887,2104,61,8052,175,9115
LGA72200,7,6,36,8406,959,140,16,1115,1014,10535
LGA72300,5,4,58,16832,939,150,10,1099,2428,20359
LGA72330,13,0,13,1563,2830,942,121,3893,883,6339
LGA72800,12,11,71,22483,2393,323,34,2750,2196,27429
LGA73600,14,0,17,3302,3014,742,73,3829,536,7667
LGA74050,0,0,0,517,1845,156,19,2020,30,2567
LGA74500,6,0,9,2441,2701,1118,73,3892,239,6572
LGA74560,0,0,0,337,8,0,0,8,20,365
LGA74660,13,0,13,2593,3744,768,64,4576,369,7538
LGA79399,0,0,11,7836,858,127,9,994,2113,10943
LGA89399,851,360,4792,277143,57031,7810,758,65599,14157,356899
LGA99399,5,0,5,1274,873,404,15,1292,872,3438
