region_id,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot
LGA54900,0,3,0,0,0,0,0,0,0,3,13,76,6,57,24,7,3,3,0,0,0,0,26,202
LGA54970,0,0,0,0,0,0,0,0,0,3,6,79,15,27,9,9,3,3,0,0,0,0,9,154
LGA55040,0,0,0,0,0,0,0,0,0,3,7,196,15,27,12,12,7,3,3,0,0,0,39,314
LGA55110,17,25,20,27,26,18,3,0,4,40,221,375,225,515,713,687,1728,2428,1199,173,51,69,204,8367
LGA55180,8,0,4,0,0,0,0,0,4,0,24,129,85,234,217,88,82,62,12,0,3,17,37,966
LGA55250,8,0,0,3,0,0,0,0,0,3,21,74,29,43,24,6,6,0,3,0,0,0,22,207
LGA55320,10,17,3,8,18,25,6,3,7,40,173,552,303,387,382,267,448,1438,2311,1008,374,546,252,8268
LGA55390,0,0,0,0,0,0,0,0,0,0,0,26,10,13,6,0,3,0,0,0,0,0,0,58
LGA55460,4,0,4,0,0,0,0,0,0,4,12,72,40,93,64,30,26,17,18,6,3,0,32,401
LGA55530,3,0,0,0,0,0,0,0,0,0,6,24,3,13,12,0,0,0,3,0,0,0,18,73
LGA55600,0,0,0,0,0,0,0,0,0,5,9,66,24,56,59,22,24,3,9,0,0,0,13,276
LGA55670,0,0,0,0,0,0,0,0,0,0,4,40,0,21,28,12,3,0,0,0,0,0,8,112
LGA55740,4,0,0,0,0,6,3,3,0,3,35,85,70,80,73,101,173,198,214,98,44,121,33,1290
LGA55810,0,0,0,0,0,0,0,0,0,0,0,31,3,28,30,3,0,0,5,0,0,0,15,115
LGA55880,0,0,0,0,0,0,0,0,0,0,0,32,12,3,3,0,0,0,0,0,3,0,9,62
LGA55950,0,0,0,0,0,0,0,0,0,3,6,35,3,12,9,0,0,0,0,0,0,0,9,68
LGA56020,0,0,3,0,0,0,0,0,0,0,6,39,15,13,7,6,0,0,0,0,0,5,5,90
LGA56090,7,7,0,0,8,10,0,0,0,15,57,154,47,116,113,79,144,364,383,143,30,18,73,1664
LGA56160,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23
LGA56230,3,3,4,5,6,3,0,0,0,7,37,110,20,108,115,120,162,246,143,23,5,9,59,1120
LGA56300,4,0,0,0,0,0,0,0,0,3,7,33,14,28,25,12,9,0,0,0,0,6,11,138
LGA56370,0,0,0,0,0,0,0,0,0,0,0,32,0,29,21,3,0,0,0,0,0,0,10,95
LGA56450,0,0,0,0,0,0,0,0,0,0,0,21,3,6,3,12,9,3,0,0,0,0,9,66
LGA56520,0,3,0,0,0,0,0,0,0,5,13,38,51,103,123,54,69,47,8,5,0,3,30,531
LGA56580,0,6,0,0,3,5,5,0,3,10,35,140,55,69,70,70,76,110,251,211,126,471,68,1717
LGA56620,0,0,0,0,0,0,0,0,0,0,12,297,8,6,0,0,0,0,0,0,0,0,28,339
LGA56730,3,4,4,3,3,0,0,0,0,6,36,101,89,154,158,112,153,94,42,5,0,4,37,949
