region_id,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T
LGA56620,3,3,3,0,9,57,44,25,10,136
LGA56730,4,3,4,4,15,330,426,193,94,1043
LGA56790,0,3,4,3,10,103,121,65,18,307
LGA56860,0,0,0,0,0,4,8,0,9,21
LGA56930,0,3,0,0,3,43,81,38,26,188
LGA57000,0,0,0,0,0,26,29,12,6,73
LGA57080,4,3,0,0,7,431,151,26,3,611
LGA57140,3,0,0,0,3,43,41,22,6,112
LGA57210,5,4,0,0,9,182,193,86,31,492
LGA57280,16,11,8,3,38,548,517,251,103,1419
LGA57350,3,0,3,0,6,28,37,13,11,89
LGA57420,4,3,0,0,7,69,94,48,10,221
LGA57490,54,50,19,10,133,4449,5786,2237,846,13318
LGA57560,12,17,0,3,32,733,1040,370,130,2273
LGA57630,0,0,0,0,0,3,4,0,0,7
LGA57700,13,15,3,3,34,811,1019,459,216,2505
LGA57770,0,0,0,0,0,32,31,11,0,74
LGA57840,4,12,3,3,22,1504,1691,576,110,3881
LGA57910,96,96,42,28,262,7988,9114,3109,942,21153
LGA57980,0,0,0,0,0,612,738,209,30,1589
LGA58050,50,76,32,19,177,4916,6213,2341,921,14391
LGA58190,0,0,0,0,0,17,15,12,4,48
LGA58260,0,0,0,0,0,14,27,13,7,61
LGA58330,6,0,0,0,6,181,150,76,37,444
LGA58400,0,0,0,0,0,11,10,6,0,27
LGA58470,0,0,0,0,0,12,3,0,4,19
LGA58510,7,14,0,0,21,1276,1041,287,81,2685
LGA58540,0,0,0,0,0,34,45,22,12,113
LGA58570,9,9,4,0,22,1166,1218,344,80,2808
LGA58610,0,0,3,0,3,57,71,38,21,187
LGA58680,0,0,0,0,0,24,22,8,3,57
LGA58760,81,96,58,28,263,6934,9490,3598,1402,21424
LGA58820,3,0,3,0,6,128,165,76,24,393
LGA58890,0,3,3,0,6,38,40,25,3,106
LGA59030,0,0,0,0,0,12,8,3,0,23
LGA59100,0,3,0,0,3,30,24,13,12,79
LGA59170,0,0,0,0,0,39,31,22,6,98
LGA59250,0,0,0,0,0,10,13,9,3,35
LGA59310,0,0,0,0,0,63,54,28,10,155
LGA59320,0,0,0,0,0,18,24,6,0,48
LGA59330,0,0,0,0,0,22,21,9,0,52
LGA59340,0,8,3,0,11,197,264,110,68,639
LGA59350,0,0,0,0,0,6,6,3,3,18
LGA59360,0,3,0,0,3,51,60,25,12,148
LGA59370,4,3,0,3,10,117,138,63,18,336
LGA59399,0,0,0,0,0,0,0,0,0,0
LGA60210,0,4,3,3,10,205,210,81,27,523
LGA60410,12,17,6,3,38,649,721,300,118,1788
LGA60610,13,5,0,5,23,736,823,323,142,2024
LGA60810,17,8,3,3,31,853,968,379,141,2341
LGA61010,3,0,0,0,3,77,88,26,18,209
LGA61210,4,3,6,0,13,306,359,194,87,946
LGA61410,23,12,9,5,49,2253,2459,876,302,5890
