region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC10200602,51,106,101,207,73,85,158,262,263,525,33,24,57,368,372,740
ILOC10200603,0,0,0,0,17,9,26,0,0,0,0,0,0,17,9,26
ILOC10200604,25,35,46,81,43,39,82,115,121,236,12,18,30,170,178,348
ILOC10200701,182,171,139,310,62,68,130,220,245,465,113,76,189,395,389,784
ILOC10200702,415,297,307,604,175,185,360,223,207,430,200,224,424,598,616,1214
ILOC10200703,66,50,50,100,50,34,84,144,159,303,33,36,69,227,229,456
ILOC10200704,54,38,34,72,58,67,125,13,7,20,30,27,57,101,101,202
ILOC10200801,3,9,9,18,73,67,140,24,17,41,3,3,6,100,87,187
ILOC10200802,115,147,95,242,38,47,85,467,438,905,85,42,127,590,527,1117
ILOC10200803,20,17,33,50,18,41,59,39,45,84,8,12,20,65,98,163
ILOC10200804,0,11,6,17,45,42,87,14,13,27,0,0,0,59,55,114
ILOC10200901,482,462,450,912,131,142,273,1274,1317,2591,278,242,520,1683,1701,3384
ILOC10200902,229,459,166,625,72,22,94,722,529,1251,129,118,247,923,669,1592
ILOC10201001,174,200,216,416,109,127,236,499,558,1057,89,92,181,697,777,1474
ILOC10201002,217,244,211,455,90,91,181,628,709,1337,130,105,235,848,905,1753
ILOC10201003,86,71,70,141,63,63,126,134,142,276,44,42,86,241,247,488
ILOC10201101,1534,1471,1440,2911,757,779,1536,4270,4312,8582,822,797,1619,5849,5888,11737
ILOC10201102,402,481,454,935,207,224,431,1884,2037,3921,231,214,445,2322,2475,4797
ILOC10201201,0,3,0,3,17,16,33,0,0,0,0,0,0,17,16,33
ILOC10201202,299,301,263,564,69,79,148,617,763,1380,186,134,320,872,976,1848
ILOC10201301,435,425,462,887,126,108,234,1497,1604,3101,225,239,464,1848,1951,3799
ILOC10201401,169,152,137,289,54,67,121,655,712,1367,100,89,189,809,868,1677
ILOC10201402,55,94,98,192,54,50,104,292,368,660,31,24,55,377,442,819
ILOC10300101,232,189,186,375,140,174,314,79,102,181,138,108,246,357,384,741
ILOC10300102,75,67,44,111,14,10,24,83,76,159,50,34,84,147,120,267
ILOC10300201,37,36,35,71,92,100,192,12,19,31,21,19,40,125,138,263
