region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA41960,170,49,84,44,37,33,73,78,9,577
LGA42030,922,1369,1524,1107,1328,968,720,1192,154,9284
LGA42110,532,140,235,148,142,119,115,309,29,1769
LGA42250,837,465,582,296,485,322,357,534,77,3955
LGA42600,2523,4515,1967,1937,2720,1763,480,1018,224,17147
LGA42750,557,250,282,253,208,181,101,334,33,2199
LGA43080,220,57,50,38,30,19,24,45,7,490
LGA43220,253,55,48,39,49,29,41,57,9,580
LGA43360,312,94,144,81,96,83,54,198,11,1073
LGA43650,1148,921,1111,709,865,580,557,932,83,6906
LGA43710,582,306,339,209,237,174,167,294,26,2334
LGA43790,1093,625,594,494,502,372,343,1015,89,5127
LGA43920,589,353,684,347,525,299,532,599,71,3999
LGA44000,0,4,0,3,4,4,0,0,8,23
LGA44060,3985,8579,5958,4525,6888,4156,1866,3680,635,40272
LGA44210,686,284,512,325,278,202,278,650,45,3260
LGA44340,4227,10330,3229,3026,4450,2796,747,2006,405,31216
LGA44550,2035,2855,2328,1640,2233,1453,851,1535,211,15141
LGA44620,1175,1599,1834,1216,1381,1428,1134,1530,172,11469
LGA44830,397,181,171,109,108,50,111,133,10,1270
LGA45040,998,723,1091,871,898,764,702,1814,158,8019
LGA45090,1078,442,544,289,421,371,236,805,51,4237
LGA45120,603,283,276,165,180,133,167,245,37,2089
LGA45290,2219,6075,1654,1660,2402,1493,409,1126,223,17261
LGA45340,7387,11924,13211,9179,11763,8328,4678,8306,1131,75907
LGA45400,155,59,63,49,36,23,21,47,3,456
LGA45540,104,55,56,62,38,45,36,107,12,515
LGA45680,2691,2841,4733,3503,4164,3202,3649,5158,649,30590
LGA45890,4537,9562,7015,5541,7272,4362,3663,6256,1001,49209
LGA46090,443,816,951,895,782,539,526,667,123,5742
LGA46300,743,978,984,694,791,677,413,1024,111,6415
LGA46450,723,864,987,775,744,756,808,823,143,6623
LGA46510,1361,3162,1134,984,1538,1042,405,777,143,10546
LGA46670,663,437,457,396,421,383,293,981,74,4105
LGA46860,227,72,83,57,53,58,19,141,0,710
LGA46970,218,448,740,139,300,115,475,256,77,2768
LGA47140,4849,7060,9145,6401,8627,5699,5781,8226,1162,56950
LGA47290,431,84,103,74,77,62,76,131,7,1045
LGA47490,297,96,135,88,98,73,63,130,15,995
LGA47630,959,305,423,200,323,243,234,666,43,3396
LGA47700,5114,8879,7845,5170,8879,5225,2617,4195,621,48545
LGA47800,817,201,249,184,199,179,182,407,29,2447
LGA47910,407,118,142,99,109,78,84,135,12,1184
LGA47980,2763,7198,1507,1616,2562,1701,317,941,295,18900
LGA48050,634,697,698,640,520,582,240,560,76,4647
LGA48130,704,279,347,236,266,162,266,515,48,2823
LGA48260,536,1223,239,299,428,261,64,148,50,3248
LGA48340,1079,528,743,449,486,430,531,1006,86,5338
LGA48410,2841,6102,3524,2907,4391,2602,1398,2388,466,26619
LGA48540,723,1329,1762,912,915,841,1352,1091,234,9159
LGA48640,230,95,88,53,40,32,50,93,5,686
LGA48750,384,228,274,183,187,160,103,277,27,1823
LGA48830,1148,441,577,398,401,288,292,580,77,4202
LGA49399,432,235,428,199,147,69,392,345,61,2308
LGA49499,69,129,126,88,92,51,84,239,33,911
