region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
LGA51960,4,5,9,569,656,266,320,716,471,2998
LGA52030,0,0,3,152,185,118,159,197,69,880
LGA52100,20,0,36,186,232,91,147,158,58,872
LGA52170,49,75,197,1705,1685,748,568,868,704,6278
LGA52240,5,3,14,136,193,115,152,165,85,846
LGA52310,0,0,7,124,173,108,104,133,48,690
LGA52380,3,0,3,35,39,18,21,50,61,224
LGA52450,8,6,28,204,265,128,148,251,61,1057
LGA52520,8,3,11,243,196,120,158,245,53,1015
LGA52590,12,9,36,464,587,320,362,498,342,2573
LGA52660,115,42,201,1972,2488,1327,1296,1759,709,9551
LGA52730,42,20,104,703,1184,753,630,645,281,4196
LGA52800,27,7,34,1275,1189,378,249,1254,2146,6491
LGA52870,38,12,77,744,1083,691,669,768,324,4279
LGA52940,9,6,24,103,124,58,101,93,39,518
LGA53010,4,0,8,109,125,68,78,75,29,484
LGA53080,0,5,5,129,193,81,81,259,180,923
LGA53150,87,24,158,1400,1596,717,582,939,398,5632
LGA53220,3,3,6,1905,1704,506,402,3302,2302,10121
LGA53290,91,39,189,2066,2641,1370,1347,1986,1080,10490
LGA53360,0,0,7,386,558,241,178,366,189,1918
LGA53430,320,93,602,5404,6335,2671,1880,4394,1954,22638
LGA53520,226,102,480,5543,7233,3662,3428,5742,2697,28305
LGA53570,23,14,52,609,825,514,625,780,416,3769
LGA53640,6,3,15,214,228,121,159,149,71,942
LGA53710,6,3,15,143,175,109,135,135,61,758
LGA53780,424,281,1052,17981,20499,9260,8547,19552,8153,83992
LGA53920,5,10,15,720,490,133,140,811,195,2489
LGA53990,75,43,202,3517,4562,2523,2509,3241,1542,17894
LGA54060,21,10,51,451,679,428,462,550,241,2811
LGA54130,0,0,3,180,207,118,144,109,55,813
LGA54170,850,405,1974,29862,34064,16125,12560,23304,7032,122947
LGA54200,309,164,771,9417,11395,5861,5091,8072,3142,42978
LGA54280,89,39,160,5059,5841,2306,2218,4878,3512,23814
LGA54340,18,28,63,531,786,411,381,755,297,3161
LGA54410,22,3,34,148,224,100,130,238,77,917
LGA54480,0,0,0,90,94,61,62,70,10,387
LGA54550,21,3,38,254,416,216,265,304,104,1559
LGA54620,6,7,13,176,188,88,109,190,96,847
LGA54690,3,0,3,74,73,55,60,55,17,334
LGA54760,3,3,13,132,157,88,110,96,35,618
LGA54830,117,69,258,4357,5458,2549,2412,4760,2991,22527
LGA54900,3,3,15,210,287,143,175,185,70,1070
LGA54970,0,0,0,238,193,51,41,405,145,1073
LGA55040,4,0,4,341,350,122,95,604,592,2104
LGA55110,605,449,1550,10246,13663,7525,7278,12366,5680,56758
LGA55180,64,31,155,1338,1896,1063,1074,1272,550,7193
LGA55250,3,0,9,154,199,84,74,355,253,1119
LGA55320,1024,499,2542,19569,20982,10059,8233,15501,5160,79504
LGA55390,0,0,0,61,76,11,16,113,31,308
LGA55460,15,7,37,515,630,318,320,609,184,2576
LGA55530,0,0,3,70,82,40,53,86,30,361
LGA55600,24,8,45,375,482,258,247,419,147,1928
LGA55670,6,4,10,134,160,81,88,152,54,669
LGA55740,93,47,224,1852,1808,811,596,1443,609,7119
LGA55810,0,0,0,124,55,36,44,181,78,518
LGA55880,0,0,3,92,91,54,62,62,10,371
LGA55950,3,0,3,88,80,65,65,76,24,398
LGA56020,4,0,4,87,129,46,80,134,79,555
LGA56090,172,98,471,5836,7578,4162,3622,4881,3487,29566
LGA56160,0,0,0,17,24,10,14,14,8,87
LGA56230,66,51,183,1894,2700,1586,1686,2371,1114,11351
LGA56300,5,3,13,171,275,175,199,166,76,1062
LGA56370,8,12,32,134,131,86,110,146,53,660
LGA56450,0,0,0,148,187,78,93,166,37,709
LGA56520,61,16,112,652,808,440,394,679,262,3235
LGA56580,240,143,611,4267,4339,2166,1902,2834,998,16506
LGA56620,4,0,4,260,260,147,77,201,93,1038
LGA56730,84,34,180,1375,1952,1089,1085,1793,972,8266
LGA56790,18,22,48,421,651,351,428,469,273,2593
LGA56860,3,0,6,30,46,30,26,31,13,176
LGA56930,5,9,42,285,252,168,143,267,120,1235
LGA57000,0,0,6,129,124,60,83,299,87,782
LGA57080,54,27,122,4360,3515,896,502,3856,2724,15853
LGA57140,8,3,27,139,213,128,148,198,84,910
LGA57210,53,10,89,631,995,595,608,694,400,3923
LGA57280,18,7,31,2441,2481,815,776,2673,2651,11837
LGA57350,19,0,27,135,162,128,141,217,52,835
LGA57420,3,5,8,312,356,189,229,396,162,1644
LGA57490,562,261,1225,16431,20740,9748,9558,17219,6724,80420
LGA57560,11,3,17,3530,3720,1370,1187,4067,4322,18196
LGA57630,0,0,0,16,22,12,7,21,17,95
LGA57700,64,19,129,2848,3552,1779,1844,2439,1108,13570
LGA57770,9,0,9,140,188,96,82,149,56,711
LGA57840,560,229,1108,9358,9344,3544,2615,7134,2904,34899
LGA57910,1732,988,4217,39546,42567,17214,14422,34171,14753,162673
LGA57980,116,82,323,4366,4193,1529,1032,2801,1245,15166
LGA58050,452,229,1005,18425,21490,9668,8827,18374,7224,84008
LGA58190,0,4,4,50,67,34,47,65,29,292
LGA58260,3,3,13,87,99,57,87,84,58,472
LGA58330,8,11,39,576,876,539,591,651,367,3600
LGA58400,6,0,6,43,74,43,43,52,24,279
LGA58470,0,0,0,43,33,14,15,53,28,186
LGA58510,398,352,1105,7068,7200,2496,1838,6402,3165,28169
LGA58540,3,0,6,142,141,90,114,156,52,695
LGA58570,315,84,605,7737,7560,2440,1633,5141,2677,27188
LGA58610,25,15,53,257,346,227,231,292,112,1465
LGA58680,0,0,0,64,79,54,52,62,34,345
LGA58760,696,351,1448,25697,29681,13129,11715,25657,9086,114965
LGA58820,34,8,57,456,677,401,469,642,205,2850
LGA58890,3,0,12,125,174,84,138,113,49,683
LGA59030,0,0,3,41,57,29,32,54,15,228
LGA59100,4,4,11,103,141,72,117,101,45,579
LGA59170,0,0,3,158,197,105,114,114,44,732
LGA59250,0,0,0,252,180,50,32,376,146,1036
LGA59310,10,3,21,204,261,142,165,236,80,1088
LGA59320,0,0,0,65,69,36,62,49,19,300
LGA59330,8,6,18,83,98,57,55,75,53,421
LGA59340,6,3,18,1273,1403,523,538,1365,791,5893
LGA59350,0,0,0,56,66,22,15,128,66,353
LGA59360,4,0,11,227,283,111,131,396,188,1336
LGA59370,26,12,47,398,682,410,477,556,252,2775
LGA59399,0,0,0,34,31,3,9,272,65,414
LGA59499,8,8,16,1369,1163,512,339,1981,1326,6690
LGA60210,74,29,139,771,1174,800,833,1102,484,5164
LGA60410,79,15,126,2037,2775,1422,1359,2838,1054,11485
LGA60610,108,154,396,2862,3973,2111,1965,3302,1261,15474
LGA60810,188,121,443,3158,4355,2436,2281,3612,1488,17330
LGA61010,15,4,22,272,402,203,290,467,203,1837
LGA61210,72,22,134,1148,1569,878,826,1274,474,6169
LGA61410,573,179,1215,8840,11850,6029,4516,7760,3128,42123
LGA61510,78,18,141,1298,1831,1009,1054,1923,633,7748
LGA61610,274,157,666,3654,4973,2642,2331,4550,1670,19820
LGA61810,68,15,125,936,1332,755,872,1169,421,5485
LGA62010,8,3,17,105,195,124,90,109,44,667
LGA62210,55,18,104,845,1219,730,785,1240,425,5244
