region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
IARE301002,1373,51932,53305,4631,287086,291717,183,8679,8862,466,14949,15415,5280,310714,315994,336,11209,11545,6989,373855,380844
IARE301003,422,10122,10544,1283,36096,37379,58,1682,1740,135,1919,2054,1476,39697,41173,84,1773,1857,1982,51592,53574
IARE301004,149,6836,6985,535,26800,27335,25,1167,1192,51,1364,1415,611,29331,29942,26,1100,1126,786,37267,38053
IARE301005,68,1911,1979,169,4787,4956,10,287,297,16,285,301,195,5359,5554,11,269,280,274,7539,7813
IARE301006,105,2751,2856,275,7365,7640,14,409,423,35,426,461,324,8200,8524,17,504,521,446,11455,11901
IARE301007,512,26862,27374,2176,131121,133297,94,5305,5399,242,8608,8850,2512,145034,147546,136,6563,6699,3160,178459,181619
IARE301008,550,10040,10590,1666,37703,39369,69,1563,1632,181,2547,2728,1916,41813,43729,134,1803,1937,2600,53656,56256
IARE301009,675,14207,14882,2238,64505,66743,88,2563,2651,212,3441,3653,2538,70509,73047,135,3234,3369,3348,87950,91298
IARE301010,201,9456,9657,815,43219,44034,31,1824,1855,76,2209,2285,922,47252,48174,41,1996,2037,1164,58704,59868
IARE301011,52,3103,3155,199,13598,13797,7,644,651,11,602,613,217,14844,15061,9,562,571,278,18509,18787
IARE301012,157,6159,6316,885,44266,45151,27,1451,1478,90,1956,2046,1002,47673,48675,50,1476,1526,1209,55308,56517
IARE301013,134,5181,5315,386,14447,14833,8,642,650,47,839,886,441,15928,16369,24,806,830,599,21915,22514
IARE301014,254,7404,7658,789,36243,37032,34,1328,1362,66,1559,1625,889,39130,40019,52,1443,1495,1195,47977,49172
IARE302001,102,1155,1257,125,2675,2800,9,163,172,21,133,154,155,2971,3126,22,177,199,279,4303,4582
IARE302002,1665,7636,9301,2118,33887,36005,117,1321,1438,355,2122,2477,2590,37330,39920,351,1605,1956,4606,46571,51177
IARE302003,132,630,762,131,2401,2532,8,120,128,29,186,215,168,2707,2875,21,129,150,321,3466,3787
IARE302004,57,446,503,68,1081,1149,5,81,86,6,43,49,79,1205,1284,12,71,83,148,1722,1870
IARE302005,38,547,585,62,1528,1590,3,102,105,4,76,80,69,1706,1775,8,81,89,115,2334,2449
IARE302006,111,535,646,91,1090,1181,3,82,85,15,62,77,109,1234,1343,15,80,95,235,1849,2084
IARE302007,288,1720,2008,292,3705,3997,23,255,278,55,212,267,370,4172,4542,32,286,318,690,6178,6868
IARE302008,145,950,1095,140,2849,2989,14,205,219,22,137,159,176,3191,3367,29,168,197,350,4309,4659
IARE302009,193,860,1053,112,1403,1515,3,77,80,23,85,108,138,1565,1703,44,113,157,375,2538,2913
IARE302010,49,63,112,14,166,180,5,15,20,15,7,22,34,188,222,0,8,8,83,259,342
IARE302011,306,3,309,61,10,71,4,0,4,35,0,35,100,10,110,4,0,4,410,13,423
IARE303001,170,7,177,7,20,27,0,0,0,5,8,13,12,28,40,3,0,3,185,35,220
IARE303002,66,175,241,27,327,354,3,11,14,6,9,15,36,347,383,10,31,41,112,553,665
IARE303003,69,149,218,30,366,396,3,11,14,8,18,26,41,395,436,8,21,29,118,565,683
IARE303004,137,4,141,31,5,36,3,0,3,38,9,47,72,14,86,0,0,0,209,18,227
IARE303005,171,4,175,14,33,47,0,0,0,0,4,4,14,37,51,4,0,4,189,41,230
IARE303006,77,9,86,3,25,28,0,0,0,3,3,6,6,28,34,4,4,8,87,41,128
IARE303007,241,86,327,137,670,807,3,24,27,25,32,57,165,726,891,15,20,35,421,832,1253
IARE303008,313,24,337,80,74,154,18,4,22,30,5,35,128,83,211,10,9,19,451,116,567
IARE303009,102,6,108,24,14,38,0,0,0,11,0,11,35,14,49,3,0,3,140,20,160
IARE304001,67,192,259,57,390,447,5,20,25,0,28,28,62,438,500,16,38,54,145,668,813
IARE304002,409,156,565,113,341,454,4,27,31,47,37,84,164,405,569,41,55,96,614,616,1230
IARE304003,131,203,334,74,647,721,8,29,37,10,41,51,92,717,809,24,42,66,247,962,1209
IARE304004,389,938,1327,440,3767,4207,23,157,180,60,272,332,523,4196,4719,86,258,344,998,5392,6390
IARE305001,83,1161,1244,136,3209,3345,7,146,153,10,208,218,153,3563,3716,14,186,200,250,4910,5160
IARE305002,78,859,937,117,2067,2184,3,100,103,22,146,168,142,2313,2455,15,182,197,235,3354,3589
IARE305003,365,8663,9028,708,20553,21261,43,1111,1154,80,1096,1176,831,22760,23591,63,1348,1411,1259,32771,34030
IARE305004,232,1394,1626,267,6263,6530,9,218,227,62,434,496,338,6915,7253,32,284,316,602,8593,9195
IARE305005,340,9034,9374,872,22608,23480,31,1216,1247,104,1223,1327,1007,25047,26054,59,1286,1345,1406,35367,36773
IARE305006,195,3111,3306,538,13428,13966,40,572,612,61,731,792,639,14731,15370,35,694,729,869,18536,19405
IARE305007,32,844,876,192,4950,5142,8,157,165,15,251,266,215,5358,5573,16,187,203,263,6389,6652
IARE305008,113,1273,1386,105,2010,2115,7,98,105,17,140,157,129,2248,2377,8,212,220,250,3733,3983
